sub	 task	 sess	 trl	 item	 acc	     rts
107	    1	    2	   1	   11	   1	  545.96
107	    1	    2	   2	    9	   1	  436.14
107	    1	    2	   3	    7	   1	  988.57
107	    1	    2	   4	   11	   1	  389.51
107	    1	    2	   5	    3	   1	  441.27
107	    1	    2	   6	    1	   1	  510.13
107	    1	    2	   7	    9	   1	  489.25
107	    1	    2	   8	   11	   1	  473.44
107	    1	    2	   9	   11	   1	  430.68
107	    1	    2	  10	    5	   1	  812.88
107	    1	    2	  11	    7	   1	 1051.00
107	    1	    2	  12	    9	   1	  452.34
107	    1	    2	  13	    7	   1	  518.88
107	    1	    2	  14	    1	   1	  467.66
107	    1	    2	  15	    1	   1	  427.03
107	    1	    2	  16	    7	   1	 1513.70
107	    1	    2	  17	   11	   1	  503.02
107	    1	    2	  18	    5	   1	  877.46
107	    1	    2	  19	   11	   1	  426.71
107	    1	    2	  20	    9	   1	  528.10
107	    1	    2	  21	    7	   1	  896.64
107	    1	    2	  22	    5	   1	  577.45
107	    1	    2	  23	   11	   1	  460.90
107	    1	    2	  24	    9	   1	  446.28
107	    1	    2	  25	    3	   1	  455.44
107	    1	    2	  26	   11	   1	  419.73
107	    1	    2	  27	    9	   1	  433.89
107	    1	    2	  28	    1	   1	  529.82
107	    1	    2	  29	    1	   1	  436.36
107	    1	    2	  30	    3	   1	  355.48
107	    1	    2	  31	    9	   1	  459.61
107	    1	    2	  32	    5	   1	  825.02
107	    1	    2	  33	    5	   1	  399.17
107	    1	    2	  34	    7	   1	  840.74
107	    1	    2	  35	    3	   1	  439.59
107	    1	    2	  36	    5	   1	  597.60
107	    1	    2	  37	    9	   1	  494.10
107	    1	    2	  38	    7	   1	  527.48
107	    1	    2	  39	    9	   1	  447.42
107	    1	    2	  40	    5	   1	  493.20
107	    1	    2	  41	   11	   1	  427.13
107	    1	    2	  42	    7	   1	  548.41
107	    1	    2	  43	   11	   1	  383.73
107	    1	    2	  44	    1	   1	  431.60
107	    1	    2	  45	    7	   1	  534.83
107	    1	    2	  46	   11	   1	  414.41
107	    1	    2	  47	    5	   1	 1511.90
107	    1	    2	  48	    3	   1	  489.48
107	    1	    2	  49	    1	   1	  414.99
107	    1	    2	  50	   11	   1	  407.33
107	    1	    2	  51	   11	   1	  384.44
107	    1	    2	  52	    7	   0	  493.86
107	    1	    2	  53	    7	   1	  600.40
107	    1	    2	  54	    3	   1	  486.69
107	    1	    2	  55	   11	   1	  449.16
107	    1	    2	  56	    7	   1	  613.65
107	    1	    2	  57	    9	   1	  462.22
107	    1	    2	  58	    7	   1	  507.72
107	    1	    2	  59	    7	   1	  554.83
107	    1	    2	  60	    9	   1	  406.81
107	    1	    2	  61	   11	   1	  407.98
107	    1	    2	  62	    3	   1	  433.84
107	    1	    2	  63	    5	   1	  548.11
107	    1	    2	  64	    3	   1	  405.87
107	    1	    2	  65	    5	   1	  726.35
107	    1	    2	  66	    9	   1	  462.03
107	    1	    2	  67	    9	   1	  515.46
107	    1	    2	  68	    1	   1	  504.66
107	    1	    2	  69	    1	   1	  426.88
107	    1	    2	  70	    3	   1	  400.36
107	    1	    2	  71	    1	   1	  376.00
107	    1	    2	  72	    9	   1	  511.74
107	    1	    2	  73	    5	   1	  924.25
107	    1	    2	  74	    3	   1	  519.05
107	    1	    2	  75	    3	   1	  529.52
107	    1	    2	  76	    7	   1	  649.00
107	    1	    2	  77	    1	   1	  496.71
107	    1	    2	  78	    1	   1	  436.81
107	    1	    2	  79	    5	   1	 1467.80
107	    1	    2	  80	    9	   1	  458.70
107	    1	    2	  81	    5	   1	 1250.70
107	    1	    2	  82	   11	   1	  442.16
107	    1	    2	  83	    7	   1	  575.46
107	    1	    2	  84	    1	   1	  443.04
107	    1	    2	  85	    3	   1	  473.99
107	    1	    2	  86	    3	   1	  570.81
107	    1	    2	  87	    1	   1	  422.89
107	    1	    2	  88	    5	   1	  418.50
107	    1	    2	  89	    3	   1	  423.40
107	    1	    2	  90	    9	   1	  505.15
107	    1	    2	  91	    9	   1	  412.24
107	    1	    2	  92	    1	   1	  489.00
107	    1	    2	  93	    7	   1	 1159.20
107	    1	    2	  94	    9	   1	  485.69
107	    1	    2	  95	    7	   1	  451.94
107	    1	    2	  96	   11	   1	  542.73
107	    1	    2	  97	    5	   1	  518.53
107	    1	    2	  98	    3	   1	  549.33
107	    1	    2	  99	    1	   1	  593.13
107	    1	    2	 100	    7	   1	 1051.20
107	    1	    2	 101	    3	   1	  656.99
107	    1	    2	 102	    3	   1	  469.38
107	    1	    2	 103	    5	   1	 1160.20
107	    1	    2	 104	    5	   1	  686.12
107	    1	    2	 105	    1	   1	  501.50
107	    1	    2	 106	   11	   1	  511.96
107	    1	    2	 107	   11	   1	  486.56
107	    1	    2	 108	    5	   1	  803.25
107	    1	    2	 109	    9	   1	  692.31
107	    1	    2	 110	    5	   1	  638.85
107	    1	    2	 111	    7	   1	  703.47
107	    1	    2	 113	    3	   1	  420.47
107	    1	    2	 114	    1	   1	  444.27
107	    1	    2	 115	    3	   1	  472.39
107	    1	    2	 116	    9	   1	  552.28
107	    1	    2	 117	    5	   1	  506.61
107	    1	    2	 118	   11	   1	  511.94
107	    1	    2	 119	    3	   1	  458.80
107	    1	    2	 120	    1	   1	  425.38
107	    1	    3	   1	    1	   1	  373.12
107	    1	    3	   2	    9	   1	  365.92
107	    1	    3	   3	   11	   1	  324.87
107	    1	    3	   4	   11	   1	  368.45
107	    1	    3	   5	    1	   1	  401.95
107	    1	    3	   6	    9	   1	  377.24
