sub	 task	 sess	 trl	 item	 acc	     rts
106	    1	    2	   1	    1	   1	  330.77
106	    1	    2	   2	    3	   1	  306.12
106	    1	    2	   3	    7	   0	  536.05
106	    1	    2	   4	    5	   1	  622.86
106	    1	    2	   5	   11	   1	  410.34
106	    1	    2	   6	   11	   1	  443.96
106	    1	    2	   7	    3	   1	  426.98
106	    1	    2	   8	    7	   1	  901.40
106	    1	    2	   9	    5	   1	  483.69
106	    1	    2	  10	    5	   1	  503.38
106	    1	    2	  11	   11	   1	  407.31
106	    1	    2	  12	   11	   1	  360.35
106	    1	    2	  13	    3	   1	  479.61
106	    1	    2	  14	   11	   1	  432.75
106	    1	    2	  15	    1	   1	  352.04
106	    1	    2	  16	    7	   1	  594.33
106	    1	    2	  17	    9	   1	  460.12
106	    1	    2	  18	    1	   1	  384.65
106	    1	    2	  19	    5	   1	  410.57
106	    1	    2	  23	    1	   1	  452.77
106	    1	    2	  24	    7	   1	  742.41
106	    1	    2	  25	    9	   1	  473.48
106	    1	    2	  26	    3	   1	  347.33
106	    1	    2	  27	    9	   1	  487.24
106	    1	    2	  28	    5	   1	  572.33
106	    1	    2	  29	    7	   0	  469.16
106	    1	    2	  30	    3	   1	  367.57
106	    1	    2	  31	    1	   1	  353.37
106	    1	    2	  32	    3	   1	  330.40
106	    1	    2	  33	    3	   1	  345.46
106	    1	    2	  34	    3	   1	  349.17
106	    1	    2	  35	    5	   1	  378.50
106	    1	    2	  36	    7	   0	  497.53
106	    1	    2	  37	    9	   1	  429.60
106	    1	    2	  38	    5	   1	  825.87
106	    1	    2	  39	    5	   1	  434.73
106	    1	    2	  40	   11	   1	  399.45
106	    1	    2	  41	   11	   1	  390.44
106	    1	    2	  42	    1	   1	  330.19
106	    1	    2	  43	   11	   1	  415.88
106	    1	    2	  44	    9	   1	  572.21
106	    1	    2	  45	    5	   1	  609.72
106	    1	    2	  46	    7	   1	  521.02
106	    1	    2	  47	    5	   1	  552.19
106	    1	    2	  48	    9	   1	  401.13
106	    1	    2	  49	    9	   1	  428.48
106	    1	    2	  50	    1	   1	  415.87
106	    1	    2	  51	    1	   1	  313.06
106	    1	    2	  52	    3	   1	  409.64
106	    1	    2	  53	    9	   1	  443.17
106	    1	    2	  54	    3	   1	  385.91
106	    1	    2	  55	    5	   1	  480.93
106	    1	    2	  56	    5	   1	  647.37
106	    1	    2	  57	    9	   1	  435.46
106	    1	    2	  58	    1	   1	  400.72
106	    1	    2	  59	    3	   1	  387.24
106	    1	    2	  60	    7	   1	  496.00
106	    1	    2	  61	    3	   1	  408.44
106	    1	    2	  62	    7	   1	  503.32
106	    1	    2	  63	    7	   1	  470.96
106	    1	    2	  64	    7	   1	  450.41
106	    1	    2	  65	   11	   1	  410.32
106	    1	    2	  66	   11	   1	  378.79
106	    1	    2	  67	    1	   1	  386.94
106	    1	    2	  68	   11	   1	  374.05
106	    1	    2	  69	    3	   1	  352.71
106	    1	    2	  70	   11	   1	  349.23
106	    1	    2	  71	    5	   1	  667.09
106	    1	    2	  72	    7	   1	  426.07
106	    1	    2	  74	    7	   1	  885.85
106	    1	    2	  75	    3	   1	  371.29
106	    1	    2	  76	    9	   1	  365.73
